,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
5,features.18,65536.0,1.52587890625e-05,0.8880479335784912,0.9335199365845783,0.888047993183136,0.933519999368279,0.9617346525192261,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
6,features.21,65536.0,1.52587890625e-05,0.8685938715934753,0.9130697401212144,0.8685938715934753,0.9130697402454646,0.9099657535552979,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
7,features.24,65536.0,0.0344390869140625,0.916117250919342,0.9630265277867158,0.9161860942840576,0.9630992041012086,0.8729764223098755,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
8,features.28,131072.0,0.05895233154296875,0.9095264673233032,0.956094349320004,0.9097219705581665,0.9563000841585939,0.7109208106994629,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
9,features.31,262144.0,0.6324272155761719,0.7614128589630127,0.8003959536731635,0.7612906098365784,0.8002699030709738,0.6830200552940369,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
10,features.34,262144.0,0.88323974609375,0.5227806568145752,0.549546172549354,0.5168806314468384,0.543353465683225,0.7120159864425659,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
11,features.37,262144.0,0.8311805725097656,0.42558109760284424,0.44737015466880525,0.40692460536956787,0.42776290087273405,0.6644558906555176,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
12,features.40,262144.0,0.7831077575683594,0.4623405635356903,0.4860116452156122,0.4496144652366638,0.4726373818227827,0.5708156824111938,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
13,features.43,262144.0,0.6252899169921875,0.7768200635910034,0.8165919820124449,0.7763078808784485,0.8160559979514631,0.6927294731140137,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
14,features.46,262144.0,0.6529426574707031,0.5851187109947205,0.6150758332824288,0.5848885178565979,0.6148359421389283,0.6921656131744385,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
15,features.49,262144.0,0.3245429992675781,0.12168348580598831,0.12791348152512624,0.12074023485183716,0.126922035418293,0.788619875907898,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
0,features.0,192.0,0.0,0.8955159187316895,0.9528984240751346,0.8955159187316895,0.9528984240751346,0.8079065084457397,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
1,features.4,4096.0,0.0,0.8051822781562805,0.8466106458652285,0.8051822781562805,0.8466106458652285,0.9095558524131775,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
2,features.8,8192.0,0.0,0.8682862520217896,0.9128311581092432,0.8682862520217896,0.9128311581092432,0.9307663440704346,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
3,features.11,16384.0,0.0,0.8979712724685669,0.943983619637894,0.8979712724685669,0.943983619637894,0.9526740908622742,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
4,features.15,32768.0,0.0,0.8977424502372742,0.9437202496605775,0.8977424502372742,0.9437202496605775,0.9579830169677734,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
5,features.18,65536.0,0.0,0.8867583870887756,0.9321643595804732,0.8867583870887756,0.9321643595804732,0.9612380862236023,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
6,features.21,65536.0,4.57763671875e-05,0.8734087944030762,0.9181312083887727,0.8734092116355896,0.9181316473602761,0.9212633371353149,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
7,features.24,65536.0,0.0146026611328125,0.9239248037338257,0.9712338620224791,0.9239649772644043,0.9712762212420842,0.8681702017784119,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
8,features.28,131072.0,0.09276580810546875,0.9100457429885864,0.9566402119717835,0.9102708101272583,0.9568771667633689,0.7257126569747925,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
9,features.31,262144.0,0.7217063903808594,0.7639990448951721,0.8031145481008515,0.7629745602607727,0.802041533849564,0.6528449058532715,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
10,features.34,262144.0,0.9053497314453125,0.41187018156051636,0.43295726212010616,0.42094045877456665,0.44250208984215444,0.691681981086731,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
11,features.37,262144.0,0.8956031799316406,0.3469523787498474,0.36471577384030834,0.34781479835510254,0.3656297069698189,0.6830978393554688,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
12,features.40,262144.0,0.7437629699707031,0.4698106050491333,0.4938641406532034,0.4524746239185333,0.47564323374993334,0.554780900478363,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
13,features.43,262144.0,0.5658340454101562,0.7691560387611389,0.8085355716294779,0.7686336040496826,0.8079882107673015,0.6841438412666321,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
14,features.46,262144.0,0.7136154174804688,0.6988300681114197,0.7346090261508084,0.7003971934318542,0.7362598252942898,0.6866198182106018,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
15,features.49,262144.0,0.3217735290527344,0.15932193398475647,0.16747895677314342,0.15883326530456543,0.16696539595000703,0.7809569835662842,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.03.pth
