Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,176987008.0,1.2748987674713137,62.7,1.3114643096923828,63.72,0,0.005,resnet50,GMP,cifar10,0.9
0,21415427968.0,0.3240383863449096,90.88,0.3482224941253662,86.38,0,0.005,resnet50,GMP,cifar10,0.9
10,233799837568.0,0.1375505179166793,95.44,0.1713757365942001,90.03,0,0.005,resnet50,GMP,cifar10,0.9
20,446184247168.0,0.1101235449314117,96.86,0.1404987871646881,91.01,0,0.005,resnet50,GMP,cifar10,0.9
30,658568656768.0,0.0528028458356857,97.92,0.1327799409627914,91.81,0,0.005,resnet50,GMP,cifar10,0.9
40,870953066368.0,0.08876933157444,98.38,0.1232617050409317,91.98,0,0.005,resnet50,GMP,cifar10,0.9
50,1083337475968.0,0.1013576909899711,98.86,0.1386527270078659,92.11,0,0.005,resnet50,GMP,cifar10,0.9
60,1295721885568.0,0.0482995025813579,98.82,0.1313576847314834,92.45,0,0.005,resnet50,GMP,cifar10,0.9
70,1508106295168.0,0.0507206618785858,98.9,0.1368889212608337,92.61,0,0.005,resnet50,GMP,cifar10,0.9
80,1720490704768.0,0.0379132442176342,99.14,0.1424298584461212,92.59,0,0.005,resnet50,GMP,cifar10,0.9
90,1932875114368.0,0.0440572723746299,99.3,0.1637220978736877,92.5,0,0.005,resnet50,GMP,cifar10,0.9
100,2145259523968.0,0.0654558762907981,99.46,0.1614573001861572,92.68,0,0.005,resnet50,GMP,cifar10,0.9
101,2145259523968.0,0.0788035988807678,99.3,0.1614572703838348,92.68,0,0.005,resnet50,GMP,cifar10,0.9
-1,177184048.0,1.578524827957153,54.68,1.5977269411087036,55.94,1,0.005,resnet50,GMP,cifar10,0.9
0,21439269808.0,0.3574070334434509,89.82,0.3614373803138733,86.32,1,0.005,resnet50,GMP,cifar10,0.9
10,234060127408.0,0.1106809601187706,95.78,0.1612167954444885,90.28,1,0.005,resnet50,GMP,cifar10,0.9
20,446680985008.0,0.0924424529075622,97.22,0.1514981091022491,91.28,1,0.005,resnet50,GMP,cifar10,0.9
30,659301842608.0,0.0677017942070961,97.6,0.1051774844527244,92.07,1,0.005,resnet50,GMP,cifar10,0.9
40,871922700208.0,0.0689394250512123,98.36,0.1511603146791458,92.29,1,0.005,resnet50,GMP,cifar10,0.9
50,1084543557808.0,0.0544891543686389,98.54,0.1627836972475052,92.56,1,0.005,resnet50,GMP,cifar10,0.9
60,1297164415408.0,0.0947883874177932,98.6,0.1855587661266327,92.6,1,0.005,resnet50,GMP,cifar10,0.9
70,1509785273008.0,0.0482058599591255,98.94,0.1362591385841369,92.73,1,0.005,resnet50,GMP,cifar10,0.9
80,1722406130608.0,0.0528641492128372,99.06,0.1801075339317321,92.88,1,0.005,resnet50,GMP,cifar10,0.9
90,1935026988208.0,0.0410585850477218,99.38,0.150567427277565,92.96,1,0.005,resnet50,GMP,cifar10,0.9
100,2147647845808.0,0.0789024084806442,99.28,0.2011260837316513,92.91,1,0.005,resnet50,GMP,cifar10,0.9
101,2147647845808.0,0.0563413687050342,99.46,0.2011260986328125,92.91,1,0.005,resnet50,GMP,cifar10,0.9
-1,177166960.0,1.3634792566299438,54.76,1.3188440799713137,57.95,2,0.005,resnet50,GMP,cifar10,0.9
0,21437202160.0,0.3557930290699005,90.62,0.3273669779300689,87.44,2,0.005,resnet50,GMP,cifar10,0.9
10,234037554160.0,0.0931670814752578,95.18,0.1004853323101997,90.65,2,0.005,resnet50,GMP,cifar10,0.9
20,446637906160.0,0.0819019302725792,96.44,0.1209203898906707,91.65,2,0.005,resnet50,GMP,cifar10,0.9
30,659238258160.0,0.0904867723584175,97.42,0.1178726032376289,92.1,2,0.005,resnet50,GMP,cifar10,0.9
40,871838610160.0,0.0813833102583885,98.14,0.1141878888010978,92.27,2,0.005,resnet50,GMP,cifar10,0.9
50,1084438962160.0,0.0622175969183445,98.48,0.121619813144207,92.45,2,0.005,resnet50,GMP,cifar10,0.9
60,1297039314160.0,0.0478201583027839,98.66,0.1035823822021484,92.69,2,0.005,resnet50,GMP,cifar10,0.9
70,1509639666160.0,0.0571942999958992,98.96,0.1670214086771011,92.66,2,0.005,resnet50,GMP,cifar10,0.9
80,1722240018160.0,0.0678344368934631,99.02,0.1305531859397888,92.74,2,0.005,resnet50,GMP,cifar10,0.9
90,1934840370160.0,0.0392689891159534,99.18,0.1396257877349853,92.85,2,0.005,resnet50,GMP,cifar10,0.9
100,2147440722160.0,0.0589601211249828,99.44,0.1243070214986801,93.0,2,0.005,resnet50,GMP,cifar10,0.9
101,2147440722160.0,0.0535442791879177,99.46,0.1243069618940353,93.0,2,0.005,resnet50,GMP,cifar10,0.9
-1,176964064.0,1.4248318672180176,59.32,1.406168818473816,60.48,3,0.005,resnet50,GMP,cifar10,0.9
0,21412651744.0,0.3392952680587768,90.72,0.3337171375751495,86.85,3,0.005,resnet50,GMP,cifar10,0.9
10,233769528544.0,0.1316908597946167,95.0,0.1348201781511306,90.28,3,0.005,resnet50,GMP,cifar10,0.9
20,446126405344.0,0.1126448065042495,96.66,0.1490834951400756,91.24,3,0.005,resnet50,GMP,cifar10,0.9
30,658483282144.0,0.118463359773159,97.46,0.0971416011452674,91.83,3,0.005,resnet50,GMP,cifar10,0.9
40,870840158944.0,0.0718646645545959,98.22,0.1068986505270004,92.06,3,0.005,resnet50,GMP,cifar10,0.9
50,1083197035744.0,0.0646015107631683,98.7,0.1456744372844696,92.27,3,0.005,resnet50,GMP,cifar10,0.9
60,1295553912544.0,0.0554867014288902,98.78,0.1054655909538269,92.35,3,0.005,resnet50,GMP,cifar10,0.9
70,1507910789344.0,0.0593627877533435,98.84,0.148022323846817,92.45,3,0.005,resnet50,GMP,cifar10,0.9
80,1720267666144.0,0.0796441584825515,98.98,0.1259497106075287,92.47,3,0.005,resnet50,GMP,cifar10,0.9
90,1932624542944.0,0.0601946152746677,99.26,0.1418232321739196,92.65,3,0.005,resnet50,GMP,cifar10,0.9
100,2144981419744.0,0.036051332950592,99.44,0.1262915879487991,92.73,3,0.005,resnet50,GMP,cifar10,0.9
101,2144981419744.0,0.0380083583295345,99.28,0.1262917071580886,92.73,3,0.005,resnet50,GMP,cifar10,0.9
-1,176962528.0,1.193495273590088,66.96,1.1684849262237549,67.16,4,0.005,resnet50,GMP,cifar10,0.9
0,21412465888.0,0.3371481001377105,91.16,0.3385592401027679,87.19,4,0.005,resnet50,GMP,cifar10,0.9
10,233767499488.0,0.1133370846509933,95.98,0.1309053301811218,90.4,4,0.005,resnet50,GMP,cifar10,0.9
20,446122533088.0,0.0863288342952728,96.56,0.112197533249855,91.24,4,0.005,resnet50,GMP,cifar10,0.9
30,658477566688.0,0.0766605362296104,98.04,0.1490542441606521,91.51,4,0.005,resnet50,GMP,cifar10,0.9
40,870832600288.0,0.0740023106336593,98.4,0.1363828033208847,92.02,4,0.005,resnet50,GMP,cifar10,0.9
50,1083187633888.0,0.0425510667264461,98.92,0.1510728299617767,92.32,4,0.005,resnet50,GMP,cifar10,0.9
