;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;0;26.63;0.09375;0.28125;0.328125;0.3671875;0.01953125;0.01171875;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.001953125;0.001953125;0.00390625;0.00390625;0.001953125;0.2;0.09375;0.25;0.3046875;0.3359375;0.01953125;0.01171875;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.001953125;0.001953125;0.001953125;0.00390625;0.001953125;0.2
1;1;36.91;0.109375;0.375;0.390625;0.421875;0.02734375;0.015625;0.015625;0.015625;0.0;0.001953125;0.001953125;0.001953125;0.00390625;0.005859375;0.005859375;0.005859375;0.2;0.109375;0.34375;0.3828125;0.3671875;0.02734375;0.015625;0.015625;0.015625;0.0;0.001953125;0.001953125;0.001953125;0.001953125;0.00390625;0.005859375;0.00390625;0.2
2;2;44.72;0.109375;0.4375;0.453125;0.453125;0.03515625;0.015625;0.015625;0.015625;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.005859375;0.3;0.125;0.421875;0.4296875;0.4140625;0.03125;0.015625;0.015625;0.015625;0.0;0.001953125;0.001953125;0.001953125;0.00390625;0.005859375;0.0078125;0.005859375;0.3
3;3;51.2;0.125;0.5;0.5078125;0.5078125;0.04296875;0.01953125;0.015625;0.015625;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.005859375;0.4;0.125;0.484375;0.4765625;0.4375;0.04296875;0.01953125;0.015625;0.015625;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.009765625;0.3
4;4;52.79;0.125;0.53125;0.53125;0.53125;0.05859375;0.02734375;0.015625;0.015625;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.0078125;0.4;0.125;0.53125;0.5078125;0.5;0.0546875;0.02734375;0.01953125;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.01171875;0.4
5;5;57.31;0.125;0.5625;0.5546875;0.5546875;0.0703125;0.03515625;0.01953125;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.0078125;0.5;0.125;0.5625;0.53125;0.515625;0.06640625;0.03515625;0.01953125;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.0078125;0.0078125;0.01171875;0.01171875;0.4
6;6;57.55;0.125;0.5625;0.5703125;0.578125;0.078125;0.03515625;0.01953125;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.009765625;0.5;0.140625;0.5625;0.5390625;0.5234375;0.0703125;0.03515625;0.01953125;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.009765625;0.4
7;7;61.94;0.140625;0.59375;0.5859375;0.609375;0.08984375;0.03515625;0.01953125;0.015625;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.009765625;0.5;0.140625;0.578125;0.5625;0.5546875;0.078125;0.0390625;0.0234375;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.0078125;0.0078125;0.5
8;8;53.84;0.140625;0.59375;0.59375;0.609375;0.09765625;0.0390625;0.0234375;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.009765625;0.5;0.140625;0.59375;0.5625;0.5703125;0.08984375;0.0390625;0.0234375;0.01953125;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.01171875;0.5
9;9;64.67;0.140625;0.59375;0.6015625;0.625;0.1015625;0.04296875;0.0234375;0.0234375;0.001953125;0.005859375;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.009765625;0.5;0.140625;0.59375;0.578125;0.578125;0.09765625;0.04296875;0.02734375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.01171875;0.5
10;10;66.37;0.140625;0.59375;0.609375;0.640625;0.10546875;0.046875;0.0234375;0.01953125;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.01171875;0.5;0.140625;0.609375;0.5859375;0.6015625;0.09765625;0.046875;0.02734375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.5
11;11;68.64;0.140625;0.625;0.6328125;0.671875;0.11328125;0.046875;0.0234375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.625;0.609375;0.640625;0.109375;0.046875;0.02734375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.5
12;12;67.38;0.140625;0.640625;0.640625;0.703125;0.1328125;0.05859375;0.03125;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.65625;0.6015625;0.640625;0.12109375;0.0546875;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
13;13;71.2;0.15625;0.640625;0.6484375;0.6953125;0.125;0.05859375;0.02734375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.640625;0.625;0.6640625;0.12890625;0.05859375;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
14;14;65.21;0.15625;0.640625;0.6484375;0.703125;0.1328125;0.05859375;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.015625;0.6;0.15625;0.65625;0.6171875;0.671875;0.12890625;0.05859375;0.03515625;0.03125;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
15;15;69.39;0.15625;0.65625;0.6640625;0.734375;0.140625;0.06640625;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.65625;0.640625;0.703125;0.13671875;0.06640625;0.03515625;0.03125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.015625;0.6
16;16;71.61;0.15625;0.640625;0.671875;0.734375;0.140625;0.05859375;0.02734375;0.0234375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.671875;0.6484375;0.71875;0.13671875;0.0625;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
17;17;71.18;0.15625;0.65625;0.6875;0.75;0.1484375;0.06640625;0.03125;0.02734375;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.15625;0.671875;0.65625;0.71875;0.14453125;0.0703125;0.03515625;0.03515625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.01171875;0.015625;0.6
18;18;71.06;0.15625;0.671875;0.6953125;0.7578125;0.1640625;0.0703125;0.03515625;0.03125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.015625;0.6;0.15625;0.671875;0.671875;0.734375;0.15625;0.0703125;0.0390625;0.03125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.015625;0.6
19;19;68.76;0.15625;0.671875;0.6875;0.7578125;0.16015625;0.07421875;0.0390625;0.03125;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.015625;0.6;0.15625;0.6875;0.65625;0.71875;0.15625;0.0703125;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.01171875;0.015625;0.6
20;20;72.83;0.15625;0.671875;0.6875;0.7578125;0.1796875;0.078125;0.0390625;0.03125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.009765625;0.013671875;0.015625;0.6;0.15625;0.6875;0.6640625;0.734375;0.16015625;0.07421875;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.015625;0.6
21;21;73.8;0.15625;0.671875;0.6953125;0.7734375;0.17578125;0.08203125;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.013671875;0.015625;0.7;0.15625;0.6875;0.6796875;0.765625;0.1640625;0.078125;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.013671875;0.015625;0.6
22;22;71.74;0.15625;0.6875;0.7109375;0.7734375;0.16796875;0.08203125;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.005859375;0.009765625;0.01171875;0.013671875;0.015625;0.7;0.15625;0.6875;0.6875;0.7578125;0.1640625;0.08203125;0.0390625;0.03515625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.01171875;0.015625;0.7
23;23;73.69;0.15625;0.6875;0.7109375;0.78125;0.171875;0.0859375;0.0390625;0.03515625;0.00390625;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.013671875;0.015625;0.7;0.15625;0.703125;0.6875;0.7734375;0.16796875;0.08203125;0.0390625;0.03515625;0.00390625;0.005859375;0.0078125;0.0078125;0.0078125;0.01171875;0.013671875;0.015625;0.7
