;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
11;11;82.33;0.140625;0.421875;0.4453125;0.6015625;0.484375;0.48046875;0.3984375;0.296875;0.130859375;0.08984375;0.068359375;0.05078125;0.046875;0.046875;0.048828125;0.048828125;0.7;0.15625;0.4375;0.4375;0.5703125;0.4765625;0.484375;0.39453125;0.27734375;0.1171875;0.0859375;0.068359375;0.05078125;0.044921875;0.046875;0.048828125;0.048828125;0.7
12;12;83.35;0.140625;0.421875;0.4453125;0.609375;0.49609375;0.4921875;0.38671875;0.28125;0.119140625;0.083984375;0.06640625;0.05078125;0.044921875;0.044921875;0.048828125;0.048828125;0.7;0.15625;0.453125;0.4375;0.5859375;0.4921875;0.4921875;0.39453125;0.27734375;0.115234375;0.08203125;0.064453125;0.048828125;0.044921875;0.044921875;0.048828125;0.048828125;0.7
13;13;80.81;0.140625;0.4375;0.4453125;0.6171875;0.5078125;0.50390625;0.39453125;0.28125;0.11328125;0.083984375;0.06640625;0.048828125;0.044921875;0.044921875;0.046875;0.048828125;0.7;0.15625;0.453125;0.4453125;0.6015625;0.50390625;0.5078125;0.39453125;0.27734375;0.109375;0.078125;0.0625;0.046875;0.04296875;0.044921875;0.046875;0.046875;0.7
14;14;83.87;0.140625;0.4375;0.453125;0.625;0.52734375;0.52734375;0.40625;0.2890625;0.115234375;0.083984375;0.064453125;0.046875;0.04296875;0.04296875;0.044921875;0.046875;0.7;0.15625;0.453125;0.4375;0.6015625;0.515625;0.5234375;0.4140625;0.26953125;0.107421875;0.080078125;0.064453125;0.046875;0.04296875;0.04296875;0.046875;0.046875;0.7
15;15;84.31;0.140625;0.4375;0.453125;0.6328125;0.53515625;0.546875;0.42578125;0.296875;0.1171875;0.08203125;0.064453125;0.048828125;0.044921875;0.04296875;0.046875;0.046875;0.7;0.15625;0.453125;0.453125;0.625;0.51953125;0.53125;0.421875;0.28515625;0.111328125;0.080078125;0.064453125;0.046875;0.04296875;0.044921875;0.046875;0.046875;0.8
16;16;85.25;0.140625;0.4375;0.4609375;0.640625;0.5390625;0.5546875;0.43359375;0.296875;0.11328125;0.083984375;0.06640625;0.048828125;0.044921875;0.044921875;0.046875;0.046875;0.7;0.15625;0.453125;0.453125;0.625;0.53515625;0.5546875;0.4375;0.2890625;0.107421875;0.078125;0.0625;0.044921875;0.04296875;0.04296875;0.044921875;0.044921875;0.7
17;17;85.28;0.140625;0.4375;0.4609375;0.6484375;0.546875;0.56640625;0.4375;0.3046875;0.1171875;0.08203125;0.0625;0.046875;0.04296875;0.041015625;0.044921875;0.044921875;0.8;0.15625;0.46875;0.453125;0.640625;0.5390625;0.56640625;0.44140625;0.28515625;0.10546875;0.080078125;0.0625;0.046875;0.04296875;0.04296875;0.044921875;0.04296875;0.8
18;18;85.13;0.15625;0.453125;0.4609375;0.6484375;0.55859375;0.578125;0.453125;0.3125;0.1171875;0.083984375;0.0625;0.046875;0.04296875;0.04296875;0.044921875;0.044921875;0.7;0.15625;0.46875;0.453125;0.6328125;0.5546875;0.57421875;0.45703125;0.30078125;0.109375;0.08203125;0.0625;0.044921875;0.04296875;0.04296875;0.044921875;0.044921875;0.8
19;19;85.69;0.140625;0.453125;0.46875;0.6640625;0.5546875;0.578125;0.44921875;0.30078125;0.109375;0.080078125;0.0625;0.044921875;0.04296875;0.041015625;0.044921875;0.04296875;0.8;0.15625;0.46875;0.4609375;0.6484375;0.55859375;0.58984375;0.46484375;0.30078125;0.107421875;0.078125;0.060546875;0.04296875;0.0390625;0.041015625;0.04296875;0.04296875;0.8
20;20;85.16;0.140625;0.4375;0.4765625;0.671875;0.578125;0.6015625;0.46875;0.3203125;0.1171875;0.08203125;0.0625;0.044921875;0.04296875;0.041015625;0.044921875;0.04296875;0.8;0.15625;0.46875;0.4609375;0.6484375;0.56640625;0.59375;0.47265625;0.3125;0.111328125;0.080078125;0.0625;0.044921875;0.041015625;0.041015625;0.04296875;0.041015625;0.8
21;21;84.66;0.140625;0.4375;0.46875;0.6640625;0.578125;0.61328125;0.4765625;0.3125;0.11328125;0.08203125;0.0625;0.044921875;0.04296875;0.041015625;0.04296875;0.041015625;0.8;0.15625;0.46875;0.4609375;0.640625;0.57421875;0.61328125;0.48046875;0.30859375;0.10546875;0.076171875;0.05859375;0.04296875;0.0390625;0.0390625;0.04296875;0.041015625;0.8
22;22;84.8;0.15625;0.453125;0.4765625;0.6796875;0.59375;0.625;0.48828125;0.3203125;0.11328125;0.083984375;0.0625;0.044921875;0.041015625;0.041015625;0.04296875;0.0390625;0.7;0.15625;0.46875;0.46875;0.65625;0.58203125;0.61328125;0.5;0.32421875;0.109375;0.080078125;0.0625;0.044921875;0.041015625;0.041015625;0.041015625;0.0390625;0.8
23;23;84.3;0.15625;0.453125;0.4765625;0.6796875;0.59375;0.62890625;0.50390625;0.328125;0.109375;0.080078125;0.060546875;0.044921875;0.041015625;0.041015625;0.04296875;0.0390625;0.8;0.15625;0.46875;0.46875;0.6640625;0.59375;0.625;0.5078125;0.33203125;0.107421875;0.076171875;0.05859375;0.04296875;0.041015625;0.0390625;0.041015625;0.0390625;0.8
24;24;85.9;0.15625;0.453125;0.4765625;0.6796875;0.6015625;0.640625;0.51171875;0.33203125;0.11328125;0.08203125;0.060546875;0.04296875;0.041015625;0.041015625;0.04296875;0.037109375;0.8;0.15625;0.46875;0.46875;0.6640625;0.59375;0.63671875;0.51953125;0.33984375;0.111328125;0.078125;0.060546875;0.04296875;0.041015625;0.0390625;0.041015625;0.037109375;0.8
25;25;86.29;0.15625;0.453125;0.4765625;0.6875;0.60546875;0.6484375;0.515625;0.3359375;0.115234375;0.08203125;0.060546875;0.044921875;0.041015625;0.041015625;0.04296875;0.037109375;0.8;0.15625;0.46875;0.46875;0.671875;0.60546875;0.6484375;0.5234375;0.3359375;0.109375;0.078125;0.060546875;0.04296875;0.0390625;0.0390625;0.041015625;0.037109375;0.8
26;26;86.93;0.15625;0.453125;0.4765625;0.6796875;0.60546875;0.65234375;0.51953125;0.3359375;0.11328125;0.08203125;0.060546875;0.044921875;0.041015625;0.041015625;0.04296875;0.037109375;0.8;0.15625;0.484375;0.46875;0.671875;0.59765625;0.65625;0.5234375;0.3359375;0.109375;0.078125;0.060546875;0.04296875;0.041015625;0.041015625;0.041015625;0.037109375;0.8
27;27;87.36;0.15625;0.453125;0.4765625;0.6875;0.609375;0.6640625;0.53125;0.34375;0.1171875;0.083984375;0.0625;0.044921875;0.041015625;0.041015625;0.04296875;0.03515625;0.8;0.15625;0.484375;0.4765625;0.671875;0.6015625;0.6640625;0.54296875;0.3515625;0.111328125;0.080078125;0.0625;0.04296875;0.041015625;0.0390625;0.041015625;0.033203125;0.8
28;28;87.57;0.15625;0.453125;0.484375;0.6953125;0.625;0.67578125;0.54296875;0.359375;0.1171875;0.083984375;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.03515625;0.8;0.15625;0.484375;0.4765625;0.671875;0.62109375;0.671875;0.55078125;0.3671875;0.11328125;0.080078125;0.060546875;0.04296875;0.0390625;0.0390625;0.041015625;0.033203125;0.8
29;29;87.79;0.15625;0.453125;0.4765625;0.6875;0.625;0.6796875;0.5546875;0.3515625;0.111328125;0.08203125;0.060546875;0.044921875;0.041015625;0.041015625;0.041015625;0.033203125;0.7;0.15625;0.484375;0.4765625;0.6796875;0.62109375;0.67578125;0.5546875;0.36328125;0.109375;0.080078125;0.0625;0.04296875;0.0390625;0.0390625;0.041015625;0.033203125;0.8
30;30;86.24;0.15625;0.453125;0.484375;0.6953125;0.625;0.6796875;0.5546875;0.359375;0.115234375;0.083984375;0.060546875;0.044921875;0.041015625;0.041015625;0.041015625;0.03125;0.7;0.15625;0.484375;0.4765625;0.6796875;0.62109375;0.67578125;0.55859375;0.359375;0.115234375;0.08203125;0.060546875;0.04296875;0.0390625;0.0390625;0.04296875;0.03125;0.8
31;31;87.3;0.15625;0.46875;0.484375;0.6953125;0.62890625;0.68359375;0.5625;0.3671875;0.115234375;0.083984375;0.0625;0.04296875;0.041015625;0.0390625;0.041015625;0.03125;0.8;0.15625;0.484375;0.4765625;0.671875;0.625;0.68359375;0.56640625;0.37109375;0.111328125;0.080078125;0.060546875;0.04296875;0.0390625;0.0390625;0.041015625;0.03125;0.8
32;32;84.28;0.15625;0.46875;0.484375;0.6953125;0.63671875;0.6953125;0.56640625;0.37109375;0.119140625;0.083984375;0.060546875;0.044921875;0.041015625;0.041015625;0.041015625;0.029296875;0.8;0.15625;0.484375;0.46875;0.6640625;0.62890625;0.6953125;0.58203125;0.3828125;0.115234375;0.08203125;0.0625;0.04296875;0.0390625;0.0390625;0.041015625;0.029296875;0.8
33;33;87.39;0.15625;0.46875;0.4921875;0.6953125;0.640625;0.69921875;0.578125;0.3828125;0.12109375;0.083984375;0.0625;0.044921875;0.041015625;0.041015625;0.041015625;0.029296875;0.8;0.15625;0.484375;0.484375;0.6796875;0.6328125;0.6953125;0.58203125;0.38671875;0.115234375;0.080078125;0.060546875;0.04296875;0.0390625;0.0390625;0.0390625;0.029296875;0.8
34;34;84.84;0.15625;0.453125;0.4921875;0.6953125;0.640625;0.69921875;0.58203125;0.3828125;0.1171875;0.0859375;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.02734375;0.8;0.15625;0.484375;0.484375;0.6796875;0.6328125;0.703125;0.59375;0.3828125;0.111328125;0.08203125;0.060546875;0.04296875;0.0390625;0.037109375;0.0390625;0.02734375;0.7
35;35;85.75;0.15625;0.453125;0.4921875;0.6953125;0.6484375;0.7109375;0.6015625;0.39453125;0.125;0.0859375;0.0625;0.044921875;0.041015625;0.041015625;0.041015625;0.025390625;0.8;0.15625;0.484375;0.484375;0.6796875;0.640625;0.7109375;0.6015625;0.40234375;0.1171875;0.08203125;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.025390625;0.8
36;36;86.15;0.15625;0.453125;0.4921875;0.6953125;0.6484375;0.7109375;0.59765625;0.38671875;0.11328125;0.083984375;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.025390625;0.8;0.15625;0.484375;0.484375;0.671875;0.640625;0.7109375;0.59375;0.38671875;0.111328125;0.08203125;0.060546875;0.04296875;0.0390625;0.0390625;0.041015625;0.025390625;0.8
37;37;88.33;0.15625;0.46875;0.4921875;0.6953125;0.6484375;0.71484375;0.6015625;0.3984375;0.119140625;0.0859375;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.025390625;0.8;0.15625;0.484375;0.484375;0.6796875;0.640625;0.71484375;0.609375;0.3984375;0.115234375;0.08203125;0.060546875;0.04296875;0.0390625;0.037109375;0.041015625;0.025390625;0.8
38;38;87.01;0.15625;0.46875;0.5;0.7109375;0.65625;0.71875;0.609375;0.39453125;0.123046875;0.087890625;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.025390625;0.8;0.15625;0.484375;0.4921875;0.6953125;0.6484375;0.71875;0.609375;0.3984375;0.115234375;0.08203125;0.060546875;0.04296875;0.0390625;0.037109375;0.0390625;0.025390625;0.8
39;39;87.56;0.15625;0.453125;0.4921875;0.7109375;0.65625;0.71875;0.6171875;0.41015625;0.119140625;0.0859375;0.060546875;0.044921875;0.041015625;0.0390625;0.041015625;0.025390625;0.8;0.15625;0.484375;0.4921875;0.703125;0.65234375;0.72265625;0.6328125;0.4140625;0.115234375;0.08203125;0.060546875;0.04296875;0.0390625;0.0390625;0.0390625;0.025390625;0.8
40;40;85.19;0.15625;0.46875;0.5;0.7109375;0.66015625;0.7265625;0.625;0.4140625;0.12109375;0.087890625;0.0625;0.04296875;0.0390625;0.037109375;0.041015625;0.021484375;0.8;0.15625;0.484375;0.4921875;0.6953125;0.65234375;0.7265625;0.62890625;0.41796875;0.115234375;0.08203125;0.060546875;0.04296875;0.0390625;0.037109375;0.0390625;0.0234375;0.8
41;41;87.89;0.15625;0.46875;0.5;0.7109375;0.66796875;0.734375;0.62890625;0.41015625;0.123046875;0.087890625;0.064453125;0.044921875;0.0390625;0.0390625;0.041015625;0.0234375;0.8;0.15625;0.484375;0.4921875;0.6875;0.66015625;0.734375;0.62890625;0.4140625;0.1171875;0.083984375;0.0625;0.04296875;0.0390625;0.037109375;0.0390625;0.0234375;0.8
42;42;88.09;0.15625;0.46875;0.5;0.7109375;0.6640625;0.734375;0.62109375;0.40625;0.12109375;0.0859375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.021484375;0.8;0.15625;0.484375;0.5;0.6953125;0.66015625;0.734375;0.625;0.4140625;0.1171875;0.08203125;0.060546875;0.04296875;0.0390625;0.037109375;0.0390625;0.0234375;0.8
43;43;88.38;0.15625;0.46875;0.5;0.7109375;0.66796875;0.734375;0.640625;0.4296875;0.130859375;0.08984375;0.0625;0.04296875;0.041015625;0.0390625;0.041015625;0.021484375;0.8;0.15625;0.5;0.5;0.6953125;0.66015625;0.734375;0.64453125;0.43359375;0.119140625;0.083984375;0.060546875;0.04296875;0.0390625;0.037109375;0.041015625;0.021484375;0.8
44;44;84.78;0.15625;0.453125;0.5;0.7109375;0.66796875;0.73828125;0.64453125;0.4375;0.12890625;0.08984375;0.0625;0.044921875;0.041015625;0.0390625;0.041015625;0.01953125;0.8;0.15625;0.484375;0.484375;0.6875;0.66015625;0.73828125;0.65234375;0.4453125;0.12109375;0.083984375;0.060546875;0.04296875;0.0390625;0.037109375;0.041015625;0.021484375;0.8
45;45;88.5;0.15625;0.46875;0.5;0.7109375;0.67578125;0.7421875;0.6484375;0.43359375;0.126953125;0.08984375;0.0625;0.04296875;0.0390625;0.0390625;0.041015625;0.01953125;0.8;0.15625;0.484375;0.4921875;0.703125;0.6640625;0.7421875;0.65625;0.4375;0.119140625;0.083984375;0.060546875;0.04296875;0.0390625;0.037109375;0.0390625;0.021484375;0.8
46;46;87.03;0.15625;0.46875;0.4921875;0.7109375;0.671875;0.74609375;0.64453125;0.4375;0.130859375;0.091796875;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.01953125;0.8;0.15625;0.5;0.4921875;0.703125;0.6640625;0.74609375;0.66015625;0.4453125;0.123046875;0.0859375;0.064453125;0.04296875;0.0390625;0.037109375;0.041015625;0.01953125;0.8
47;47;89.31;0.15625;0.484375;0.5078125;0.7109375;0.671875;0.74609375;0.66015625;0.44921875;0.130859375;0.08984375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.01953125;0.8;0.15625;0.5;0.4921875;0.6953125;0.6640625;0.7421875;0.66015625;0.453125;0.12109375;0.0859375;0.064453125;0.04296875;0.0390625;0.037109375;0.041015625;0.01953125;0.8
48;48;89.51;0.15625;0.46875;0.5;0.71875;0.671875;0.75;0.66015625;0.44140625;0.125;0.08984375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.017578125;0.8;0.15625;0.5;0.4921875;0.703125;0.66796875;0.75390625;0.6640625;0.45703125;0.123046875;0.0859375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.01953125;0.8
49;49;89.21;0.15625;0.46875;0.5078125;0.7265625;0.67578125;0.75;0.66015625;0.44921875;0.13671875;0.09375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.01953125;0.8;0.15625;0.5;0.5;0.7109375;0.66796875;0.75390625;0.66015625;0.44921875;0.125;0.0859375;0.064453125;0.04296875;0.0390625;0.037109375;0.041015625;0.01953125;0.8
50;50;89.42;0.15625;0.46875;0.5078125;0.71875;0.6796875;0.7578125;0.66796875;0.4609375;0.12890625;0.091796875;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.017578125;0.8;0.15625;0.5;0.5;0.703125;0.671875;0.7578125;0.67578125;0.47265625;0.126953125;0.08984375;0.064453125;0.04296875;0.0390625;0.037109375;0.041015625;0.01953125;0.8
51;51;89.42;0.15625;0.46875;0.5;0.7265625;0.6796875;0.7578125;0.671875;0.45703125;0.130859375;0.091796875;0.064453125;0.044921875;0.041015625;0.0390625;0.04296875;0.017578125;0.8;0.15625;0.5;0.5;0.7109375;0.6796875;0.76171875;0.68359375;0.47265625;0.126953125;0.087890625;0.064453125;0.04296875;0.0390625;0.037109375;0.041015625;0.01953125;0.8
52;52;87.54;0.15625;0.46875;0.5;0.7265625;0.68359375;0.7578125;0.67578125;0.45703125;0.134765625;0.09375;0.06640625;0.044921875;0.041015625;0.0390625;0.041015625;0.017578125;0.8;0.15625;0.5;0.4921875;0.7109375;0.6796875;0.76171875;0.68359375;0.46875;0.126953125;0.087890625;0.064453125;0.044921875;0.0390625;0.037109375;0.041015625;0.017578125;0.8
53;53;89.45;0.15625;0.46875;0.515625;0.7265625;0.68359375;0.765625;0.68359375;0.46484375;0.130859375;0.08984375;0.064453125;0.044921875;0.041015625;0.0390625;0.04296875;0.017578125;0.8;0.15625;0.5;0.5078125;0.71875;0.6796875;0.765625;0.6875;0.48828125;0.130859375;0.087890625;0.064453125;0.04296875;0.0390625;0.0390625;0.041015625;0.017578125;0.8
54;54;88.96;0.15625;0.46875;0.5078125;0.734375;0.6875;0.765625;0.6796875;0.4609375;0.1328125;0.09375;0.064453125;0.044921875;0.041015625;0.0390625;0.041015625;0.017578125;0.8;0.15625;0.5;0.5;0.71875;0.68359375;0.765625;0.69140625;0.48828125;0.130859375;0.087890625;0.064453125;0.044921875;0.0390625;0.037109375;0.041015625;0.017578125;0.8
55;55;89.37;0.15625;0.46875;0.515625;0.7265625;0.6875;0.765625;0.69140625;0.4765625;0.138671875;0.095703125;0.06640625;0.044921875;0.0390625;0.0390625;0.041015625;0.015625;0.8;0.15625;0.5;0.5;0.7109375;0.6796875;0.76171875;0.6953125;0.48828125;0.130859375;0.091796875;0.06640625;0.04296875;0.0390625;0.037109375;0.041015625;0.017578125;0.8
56;56;89.77;0.15625;0.46875;0.515625;0.734375;0.69140625;0.76953125;0.69140625;0.484375;0.138671875;0.095703125;0.06640625;0.046875;0.041015625;0.041015625;0.04296875;0.017578125;0.8;0.15625;0.5;0.5078125;0.71875;0.6875;0.76953125;0.6953125;0.4921875;0.1328125;0.091796875;0.06640625;0.044921875;0.0390625;0.0390625;0.041015625;0.017578125;0.8
57;57;89.35;0.15625;0.46875;0.5234375;0.734375;0.6875;0.76953125;0.6953125;0.48046875;0.13671875;0.09375;0.06640625;0.044921875;0.041015625;0.0390625;0.041015625;0.015625;0.8;0.15625;0.484375;0.515625;0.7109375;0.68359375;0.7734375;0.69921875;0.48828125;0.130859375;0.08984375;0.064453125;0.04296875;0.037109375;0.037109375;0.041015625;0.017578125;0.8
58;58;89.81;0.15625;0.46875;0.515625;0.734375;0.69140625;0.76953125;0.69921875;0.484375;0.142578125;0.09765625;0.06640625;0.044921875;0.041015625;0.0390625;0.041015625;0.015625;0.8;0.15625;0.5;0.5078125;0.71875;0.68359375;0.76953125;0.703125;0.4921875;0.130859375;0.08984375;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8
59;59;89.46;0.15625;0.46875;0.515625;0.734375;0.69140625;0.7734375;0.703125;0.484375;0.140625;0.09375;0.06640625;0.044921875;0.0390625;0.0390625;0.041015625;0.015625;0.8;0.15625;0.5;0.515625;0.71875;0.6875;0.7734375;0.70703125;0.50390625;0.13671875;0.091796875;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.017578125;0.8
60;60;90.05;0.15625;0.484375;0.515625;0.734375;0.6953125;0.7734375;0.703125;0.48828125;0.140625;0.09375;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8;0.15625;0.5;0.5078125;0.71875;0.68359375;0.77734375;0.7109375;0.50390625;0.1328125;0.091796875;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8
61;61;90.28;0.15625;0.484375;0.515625;0.734375;0.69140625;0.7734375;0.703125;0.48046875;0.140625;0.09765625;0.068359375;0.044921875;0.0390625;0.0390625;0.041015625;0.015625;0.8;0.15625;0.5;0.5078125;0.7265625;0.68359375;0.7734375;0.7109375;0.5078125;0.134765625;0.091796875;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8
62;62;90.73;0.15625;0.484375;0.515625;0.7421875;0.69921875;0.77734375;0.703125;0.484375;0.140625;0.099609375;0.068359375;0.046875;0.041015625;0.0390625;0.04296875;0.015625;0.8;0.15625;0.5;0.515625;0.7265625;0.6953125;0.78125;0.71484375;0.515625;0.138671875;0.09375;0.06640625;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8
63;63;90.61;0.15625;0.484375;0.515625;0.7421875;0.6953125;0.77734375;0.70703125;0.4921875;0.142578125;0.09765625;0.06640625;0.044921875;0.0390625;0.0390625;0.04296875;0.015625;0.8;0.15625;0.5;0.5078125;0.7265625;0.6875;0.78125;0.7109375;0.5078125;0.1328125;0.09375;0.068359375;0.044921875;0.0390625;0.037109375;0.041015625;0.017578125;0.8
64;64;90.24;0.15625;0.46875;0.515625;0.734375;0.6953125;0.77734375;0.703125;0.48828125;0.142578125;0.1015625;0.068359375;0.046875;0.041015625;0.0390625;0.04296875;0.015625;0.8;0.15625;0.5;0.5078125;0.7265625;0.69140625;0.78125;0.71484375;0.515625;0.13671875;0.09375;0.06640625;0.044921875;0.0390625;0.037109375;0.04296875;0.015625;0.8
65;65;90.86;0.15625;0.484375;0.515625;0.734375;0.6953125;0.78125;0.7109375;0.48046875;0.140625;0.099609375;0.068359375;0.046875;0.041015625;0.041015625;0.04296875;0.015625;0.8;0.15625;0.5;0.5078125;0.7265625;0.69140625;0.78515625;0.72265625;0.51171875;0.134765625;0.09375;0.068359375;0.044921875;0.0390625;0.0390625;0.04296875;0.015625;0.8
66;66;89.23;0.15625;0.484375;0.5234375;0.7421875;0.703125;0.78515625;0.71875;0.5;0.146484375;0.1015625;0.0703125;0.046875;0.041015625;0.0390625;0.04296875;0.015625;0.8;0.15625;0.5;0.515625;0.7265625;0.6953125;0.78515625;0.72265625;0.51171875;0.134765625;0.09375;0.068359375;0.044921875;0.0390625;0.037109375;0.041015625;0.015625;0.8
