;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
10;10;79.45;0.140625;0.40625;0.3984375;0.5703125;0.4375;0.421875;0.28125;0.1875;0.07421875;0.052734375;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.037109375;0.7;0.15625;0.40625;0.390625;0.5546875;0.43359375;0.41796875;0.265625;0.171875;0.06640625;0.048828125;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.03515625;0.7
11;11;75.11;0.140625;0.40625;0.4140625;0.59375;0.4609375;0.44140625;0.28515625;0.1875;0.0703125;0.05078125;0.03515625;0.029296875;0.029296875;0.03125;0.033203125;0.03515625;0.7;0.15625;0.421875;0.40625;0.578125;0.4609375;0.42578125;0.26953125;0.171875;0.064453125;0.046875;0.03125;0.02734375;0.02734375;0.029296875;0.03125;0.03125;0.7
12;12;82.46;0.140625;0.40625;0.4140625;0.6015625;0.47265625;0.4609375;0.29296875;0.1875;0.072265625;0.05078125;0.03515625;0.029296875;0.029296875;0.03125;0.03125;0.03125;0.7;0.15625;0.421875;0.4140625;0.578125;0.4609375;0.453125;0.28515625;0.171875;0.06640625;0.048828125;0.033203125;0.029296875;0.029296875;0.029296875;0.03125;0.03125;0.6
13;13;75.93;0.15625;0.421875;0.4375;0.6171875;0.4921875;0.48046875;0.30078125;0.1953125;0.072265625;0.05078125;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.033203125;0.7;0.15625;0.4375;0.4296875;0.5859375;0.484375;0.4765625;0.3046875;0.18359375;0.068359375;0.05078125;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.033203125;0.7
14;14;78.61;0.140625;0.421875;0.421875;0.6171875;0.4921875;0.48828125;0.31640625;0.19921875;0.07421875;0.0546875;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.03125;0.7;0.15625;0.4375;0.421875;0.59375;0.484375;0.48828125;0.31640625;0.1875;0.068359375;0.05078125;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.029296875;0.7
15;15;79.81;0.15625;0.421875;0.4296875;0.625;0.51171875;0.5078125;0.32421875;0.19921875;0.072265625;0.052734375;0.03515625;0.02734375;0.02734375;0.029296875;0.03125;0.029296875;0.7;0.15625;0.4375;0.4296875;0.6015625;0.515625;0.5;0.31640625;0.1875;0.06640625;0.048828125;0.033203125;0.02734375;0.025390625;0.029296875;0.029296875;0.029296875;0.7
16;16;80.14;0.15625;0.421875;0.4453125;0.625;0.5234375;0.51953125;0.33984375;0.203125;0.0703125;0.0546875;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.029296875;0.7;0.15625;0.4375;0.4296875;0.609375;0.51953125;0.515625;0.34375;0.19140625;0.068359375;0.0546875;0.037109375;0.029296875;0.02734375;0.029296875;0.03125;0.02734375;0.7
17;17;81.52;0.15625;0.421875;0.4375;0.625;0.53515625;0.53515625;0.34765625;0.2109375;0.07421875;0.0546875;0.03515625;0.029296875;0.02734375;0.029296875;0.029296875;0.02734375;0.7;0.15625;0.453125;0.4375;0.609375;0.53125;0.53125;0.3515625;0.203125;0.068359375;0.05078125;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.02734375;0.7
18;18;78.03;0.15625;0.421875;0.4453125;0.6328125;0.54296875;0.54296875;0.34765625;0.21484375;0.07421875;0.0546875;0.03515625;0.029296875;0.02734375;0.029296875;0.03125;0.02734375;0.7;0.15625;0.453125;0.4453125;0.609375;0.53515625;0.5390625;0.34375;0.203125;0.0703125;0.05078125;0.033203125;0.02734375;0.025390625;0.029296875;0.029296875;0.029296875;0.7
19;19;82.7;0.15625;0.421875;0.453125;0.6328125;0.546875;0.55078125;0.359375;0.22265625;0.076171875;0.0546875;0.03515625;0.02734375;0.025390625;0.02734375;0.029296875;0.025390625;0.7;0.15625;0.4375;0.4375;0.6171875;0.54296875;0.54296875;0.34375;0.203125;0.0703125;0.05078125;0.033203125;0.02734375;0.025390625;0.02734375;0.029296875;0.025390625;0.7
20;20;82.14;0.15625;0.421875;0.4609375;0.6328125;0.55078125;0.5625;0.3671875;0.21875;0.07421875;0.0546875;0.03515625;0.029296875;0.02734375;0.029296875;0.029296875;0.0234375;0.7;0.15625;0.4375;0.453125;0.609375;0.546875;0.5546875;0.3671875;0.21484375;0.072265625;0.0546875;0.03515625;0.02734375;0.025390625;0.029296875;0.029296875;0.025390625;0.7
21;21;80.57;0.15625;0.421875;0.453125;0.640625;0.5625;0.56640625;0.3671875;0.21875;0.076171875;0.0546875;0.03515625;0.02734375;0.025390625;0.029296875;0.029296875;0.0234375;0.7;0.15625;0.4375;0.4453125;0.625;0.5546875;0.55859375;0.35546875;0.20703125;0.072265625;0.05078125;0.03125;0.025390625;0.0234375;0.02734375;0.02734375;0.0234375;0.7
22;22;78.17;0.15625;0.4375;0.4609375;0.640625;0.5703125;0.57421875;0.3828125;0.22265625;0.076171875;0.0546875;0.03515625;0.02734375;0.0234375;0.02734375;0.02734375;0.0234375;0.7;0.15625;0.453125;0.4453125;0.625;0.5625;0.5703125;0.375;0.203125;0.0703125;0.052734375;0.033203125;0.02734375;0.0234375;0.02734375;0.02734375;0.0234375;0.7
23;23;84.05;0.15625;0.4375;0.4609375;0.6484375;0.5703125;0.5859375;0.390625;0.2265625;0.078125;0.0546875;0.03515625;0.02734375;0.0234375;0.02734375;0.029296875;0.021484375;0.7;0.15625;0.453125;0.453125;0.6328125;0.5625;0.57421875;0.3828125;0.21484375;0.072265625;0.052734375;0.033203125;0.02734375;0.0234375;0.02734375;0.02734375;0.0234375;0.7
24;24;85.41;0.15625;0.4375;0.453125;0.6484375;0.5703125;0.5859375;0.390625;0.2265625;0.076171875;0.056640625;0.03515625;0.02734375;0.0234375;0.02734375;0.029296875;0.01953125;0.7;0.15625;0.453125;0.453125;0.640625;0.5703125;0.58203125;0.39453125;0.22265625;0.076171875;0.0546875;0.033203125;0.025390625;0.0234375;0.02734375;0.02734375;0.021484375;0.7
25;25;82.21;0.15625;0.421875;0.4609375;0.6640625;0.5859375;0.59765625;0.40625;0.23046875;0.078125;0.056640625;0.033203125;0.02734375;0.0234375;0.029296875;0.029296875;0.01953125;0.7;0.15625;0.453125;0.4609375;0.640625;0.5859375;0.59375;0.3984375;0.22265625;0.07421875;0.0546875;0.033203125;0.02734375;0.025390625;0.029296875;0.029296875;0.021484375;0.7
26;26;83.17;0.15625;0.421875;0.46875;0.6640625;0.59375;0.60546875;0.4140625;0.24609375;0.080078125;0.056640625;0.03515625;0.02734375;0.025390625;0.029296875;0.03125;0.017578125;0.7;0.15625;0.453125;0.4609375;0.65625;0.59375;0.6015625;0.41796875;0.234375;0.076171875;0.0546875;0.033203125;0.02734375;0.0234375;0.02734375;0.029296875;0.01953125;0.7
27;27;83.41;0.15625;0.453125;0.46875;0.6640625;0.6015625;0.609375;0.42578125;0.24609375;0.08203125;0.056640625;0.03515625;0.02734375;0.0234375;0.02734375;0.029296875;0.017578125;0.7;0.15625;0.453125;0.453125;0.6484375;0.59375;0.609375;0.43359375;0.2421875;0.080078125;0.0546875;0.033203125;0.02734375;0.0234375;0.029296875;0.029296875;0.017578125;0.7
28;28;82.99;0.15625;0.4375;0.46875;0.6640625;0.59375;0.6171875;0.4296875;0.25;0.08203125;0.05859375;0.03515625;0.02734375;0.0234375;0.02734375;0.029296875;0.017578125;0.7;0.15625;0.4375;0.4609375;0.640625;0.5859375;0.61328125;0.4296875;0.23828125;0.078125;0.056640625;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.017578125;0.7
29;29;81.46;0.15625;0.4375;0.46875;0.6640625;0.60546875;0.62109375;0.4296875;0.25;0.08203125;0.05859375;0.033203125;0.02734375;0.0234375;0.02734375;0.03125;0.017578125;0.7;0.15625;0.453125;0.4609375;0.6484375;0.6015625;0.6171875;0.4296875;0.2421875;0.076171875;0.0546875;0.03125;0.025390625;0.0234375;0.02734375;0.029296875;0.01953125;0.7
30;30;85.36;0.15625;0.4375;0.46875;0.671875;0.61328125;0.6328125;0.44140625;0.25390625;0.08203125;0.05859375;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.017578125;0.7;0.15625;0.453125;0.46875;0.6640625;0.61328125;0.62890625;0.4453125;0.2421875;0.080078125;0.05859375;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.017578125;0.7
31;31;82.71;0.15625;0.4375;0.4765625;0.671875;0.6171875;0.6328125;0.4453125;0.26171875;0.0859375;0.056640625;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7;0.15625;0.453125;0.46875;0.65625;0.60546875;0.625;0.44921875;0.2578125;0.083984375;0.056640625;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7
32;32;83.52;0.15625;0.4375;0.484375;0.671875;0.625;0.6484375;0.45703125;0.265625;0.0859375;0.05859375;0.033203125;0.025390625;0.0234375;0.02734375;0.03125;0.017578125;0.8;0.15625;0.453125;0.4765625;0.6640625;0.625;0.640625;0.453125;0.25390625;0.078125;0.0546875;0.03125;0.025390625;0.0234375;0.025390625;0.029296875;0.015625;0.8
33;33;83.35;0.15625;0.453125;0.484375;0.6796875;0.6171875;0.65234375;0.45703125;0.26171875;0.083984375;0.05859375;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7;0.15625;0.46875;0.4765625;0.65625;0.609375;0.64453125;0.45703125;0.25;0.080078125;0.056640625;0.03125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7
34;34;83.57;0.15625;0.4375;0.484375;0.6796875;0.62109375;0.65234375;0.46484375;0.27734375;0.087890625;0.060546875;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7;0.15625;0.453125;0.4765625;0.6640625;0.6171875;0.64453125;0.46484375;0.265625;0.08203125;0.056640625;0.03125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.8
35;35;85.99;0.15625;0.4375;0.484375;0.6796875;0.625;0.66015625;0.47265625;0.27734375;0.087890625;0.060546875;0.033203125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.8;0.15625;0.453125;0.484375;0.6640625;0.62109375;0.65625;0.48046875;0.26953125;0.08203125;0.05859375;0.03125;0.025390625;0.0234375;0.02734375;0.029296875;0.015625;0.7
36;36;85.78;0.15625;0.453125;0.484375;0.6796875;0.62890625;0.66796875;0.48046875;0.27734375;0.0859375;0.05859375;0.033203125;0.025390625;0.0234375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.46875;0.4765625;0.671875;0.625;0.66015625;0.484375;0.26953125;0.08203125;0.05859375;0.03125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8
37;37;84.92;0.15625;0.4375;0.4921875;0.671875;0.625;0.66796875;0.48046875;0.28125;0.087890625;0.060546875;0.03125;0.025390625;0.0234375;0.025390625;0.029296875;0.015625;0.7;0.15625;0.453125;0.484375;0.6640625;0.625;0.66796875;0.484375;0.265625;0.080078125;0.056640625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.7
38;38;84.92;0.15625;0.4375;0.5;0.6875;0.64453125;0.67578125;0.49609375;0.28515625;0.08984375;0.05859375;0.033203125;0.025390625;0.0234375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.453125;0.484375;0.6875;0.63671875;0.671875;0.48828125;0.27734375;0.083984375;0.05859375;0.03125;0.025390625;0.021484375;0.025390625;0.02734375;0.015625;0.8
39;39;85.47;0.15625;0.453125;0.4921875;0.6796875;0.640625;0.67578125;0.50390625;0.29296875;0.091796875;0.060546875;0.033203125;0.025390625;0.0234375;0.025390625;0.029296875;0.015625;0.7;0.15625;0.453125;0.484375;0.671875;0.6328125;0.67578125;0.50390625;0.2890625;0.087890625;0.060546875;0.03125;0.025390625;0.0234375;0.025390625;0.02734375;0.015625;0.8
40;40;85.06;0.15625;0.453125;0.5;0.6875;0.6484375;0.68359375;0.5;0.2890625;0.091796875;0.060546875;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.46875;0.4921875;0.671875;0.64453125;0.6796875;0.5078125;0.2890625;0.087890625;0.05859375;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.8
41;41;84.15;0.15625;0.453125;0.5;0.6953125;0.65234375;0.6875;0.5078125;0.2890625;0.091796875;0.0625;0.03125;0.025390625;0.021484375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.46875;0.4921875;0.6796875;0.6484375;0.6796875;0.51171875;0.28515625;0.0859375;0.060546875;0.03125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8
42;42;84.65;0.15625;0.453125;0.5;0.6875;0.6484375;0.69140625;0.51953125;0.30078125;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.46875;0.4921875;0.671875;0.640625;0.69140625;0.5234375;0.28125;0.0859375;0.05859375;0.03125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8
43;43;86.28;0.15625;0.453125;0.5078125;0.6953125;0.65625;0.6953125;0.51953125;0.296875;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8;0.15625;0.46875;0.4921875;0.6796875;0.6484375;0.6953125;0.51953125;0.29296875;0.087890625;0.060546875;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
44;44;85.43;0.15625;0.453125;0.5;0.6875;0.65625;0.6953125;0.51953125;0.30078125;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.7;0.15625;0.46875;0.5;0.6796875;0.65234375;0.69140625;0.51953125;0.296875;0.091796875;0.060546875;0.033203125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8
45;45;87.6;0.15625;0.453125;0.5;0.6953125;0.66015625;0.703125;0.53125;0.3046875;0.091796875;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.7;0.15625;0.46875;0.5;0.6875;0.65234375;0.69921875;0.53125;0.29296875;0.087890625;0.05859375;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7
46;46;84.82;0.15625;0.453125;0.515625;0.6953125;0.66015625;0.703125;0.53125;0.3125;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.8;0.15625;0.46875;0.5078125;0.6796875;0.65234375;0.69921875;0.52734375;0.3046875;0.08984375;0.060546875;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.8
47;47;86.76;0.15625;0.453125;0.5078125;0.6953125;0.6640625;0.70703125;0.53125;0.30859375;0.091796875;0.0625;0.03125;0.0234375;0.021484375;0.025390625;0.029296875;0.015625;0.7;0.15625;0.46875;0.5;0.6875;0.65625;0.703125;0.5390625;0.31640625;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
48;48;87.53;0.15625;0.453125;0.5078125;0.6953125;0.6640625;0.70703125;0.54296875;0.3046875;0.095703125;0.064453125;0.03125;0.0234375;0.021484375;0.025390625;0.02734375;0.015625;0.8;0.15625;0.46875;0.4921875;0.6796875;0.66015625;0.70703125;0.55078125;0.30859375;0.091796875;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
49;49;84.76;0.15625;0.453125;0.515625;0.7109375;0.671875;0.71484375;0.5546875;0.3203125;0.095703125;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7;0.15625;0.46875;0.5078125;0.6953125;0.6640625;0.71875;0.56640625;0.3125;0.091796875;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
50;50;88.27;0.15625;0.453125;0.5078125;0.703125;0.671875;0.72265625;0.5546875;0.3125;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8;0.15625;0.46875;0.4921875;0.6953125;0.6640625;0.71875;0.5625;0.3203125;0.091796875;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
51;51;86.73;0.15625;0.453125;0.5078125;0.6953125;0.671875;0.71875;0.56640625;0.328125;0.095703125;0.064453125;0.03125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.453125;0.5;0.6875;0.66796875;0.71875;0.57421875;0.328125;0.08984375;0.060546875;0.03125;0.021484375;0.021484375;0.0234375;0.02734375;0.015625;0.8
52;52;87.21;0.15625;0.453125;0.5078125;0.703125;0.67578125;0.7265625;0.56640625;0.32421875;0.099609375;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7;0.15625;0.46875;0.5;0.703125;0.66796875;0.7265625;0.56640625;0.32421875;0.09375;0.0625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
53;53;86.15;0.15625;0.4375;0.5078125;0.703125;0.6796875;0.734375;0.56640625;0.32421875;0.09765625;0.064453125;0.03125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.46875;0.5;0.6875;0.67578125;0.734375;0.58203125;0.33984375;0.09375;0.0625;0.03125;0.021484375;0.021484375;0.0234375;0.02734375;0.015625;0.8
54;54;87.24;0.15625;0.453125;0.515625;0.7109375;0.68359375;0.734375;0.578125;0.33984375;0.099609375;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.7;0.15625;0.46875;0.5;0.7109375;0.67578125;0.7265625;0.58203125;0.3359375;0.09375;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7
55;55;88.53;0.15625;0.453125;0.5234375;0.71875;0.68359375;0.734375;0.5859375;0.33203125;0.09765625;0.06640625;0.033203125;0.0234375;0.0234375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.46875;0.515625;0.7109375;0.67578125;0.73046875;0.5859375;0.33984375;0.095703125;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8
56;56;87.8;0.15625;0.453125;0.5234375;0.7109375;0.6796875;0.73828125;0.58984375;0.33984375;0.09765625;0.06640625;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8;0.15625;0.484375;0.515625;0.6953125;0.6796875;0.73828125;0.59765625;0.35546875;0.09765625;0.064453125;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8
57;57;88.83;0.15625;0.46875;0.5234375;0.7109375;0.68359375;0.73828125;0.59765625;0.34765625;0.1015625;0.06640625;0.03125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.8;0.15625;0.484375;0.5078125;0.703125;0.6796875;0.73828125;0.59375;0.33984375;0.09765625;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7
58;58;88.02;0.15625;0.46875;0.5234375;0.71875;0.69140625;0.74609375;0.60546875;0.3515625;0.103515625;0.06640625;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.515625;0.703125;0.68359375;0.7421875;0.609375;0.3515625;0.099609375;0.064453125;0.033203125;0.0234375;0.021484375;0.0234375;0.02734375;0.015625;0.7
59;59;87.81;0.15625;0.46875;0.5234375;0.71875;0.69140625;0.74609375;0.59765625;0.34375;0.103515625;0.06640625;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.515625;0.703125;0.6875;0.7421875;0.609375;0.36328125;0.099609375;0.06640625;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8
60;60;89.68;0.15625;0.46875;0.53125;0.71875;0.69140625;0.75;0.609375;0.3515625;0.103515625;0.068359375;0.033203125;0.0234375;0.0234375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.5234375;0.7109375;0.69140625;0.75;0.62109375;0.36328125;0.099609375;0.06640625;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8
61;61;88.91;0.15625;0.46875;0.5234375;0.71875;0.69140625;0.75;0.62109375;0.36328125;0.10546875;0.0703125;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.515625;0.7109375;0.6875;0.75;0.62109375;0.36328125;0.1015625;0.06640625;0.033203125;0.021484375;0.021484375;0.0234375;0.02734375;0.015625;0.8
62;62;89.02;0.15625;0.46875;0.53125;0.7265625;0.6953125;0.75390625;0.609375;0.35546875;0.103515625;0.068359375;0.033203125;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.5234375;0.703125;0.69140625;0.75390625;0.62109375;0.3671875;0.1015625;0.06640625;0.033203125;0.021484375;0.021484375;0.0234375;0.02734375;0.015625;0.8
63;63;88.83;0.15625;0.46875;0.5234375;0.7265625;0.6953125;0.76171875;0.62890625;0.37109375;0.107421875;0.0703125;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.484375;0.515625;0.7109375;0.69140625;0.76171875;0.6328125;0.37890625;0.103515625;0.068359375;0.033203125;0.021484375;0.021484375;0.0234375;0.029296875;0.015625;0.8
64;64;89.82;0.15625;0.46875;0.53125;0.7265625;0.6953125;0.76171875;0.6328125;0.375;0.107421875;0.0703125;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.15625;0.5;0.515625;0.7109375;0.69140625;0.76171875;0.640625;0.390625;0.103515625;0.068359375;0.03515625;0.021484375;0.021484375;0.0234375;0.029296875;0.015625;0.8
65;65;89.38;0.15625;0.46875;0.53125;0.7265625;0.70703125;0.76953125;0.64453125;0.3828125;0.111328125;0.072265625;0.03515625;0.0234375;0.0234375;0.0234375;0.029296875;0.015625;0.8;0.171875;0.484375;0.5234375;0.71875;0.703125;0.76953125;0.64453125;0.3828125;0.10546875;0.06640625;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8
66;66;90.03;0.15625;0.46875;0.53125;0.7265625;0.703125;0.765625;0.6328125;0.3671875;0.109375;0.072265625;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8;0.171875;0.484375;0.5234375;0.7109375;0.69921875;0.76953125;0.64453125;0.38671875;0.10546875;0.068359375;0.03515625;0.0234375;0.021484375;0.0234375;0.029296875;0.015625;0.8
