;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;0;26.83;0.09375;0.15625;0.1171875;0.09375;0.046875;0.03125;0.0234375;0.0234375;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.017578125;0.015625;0.0078125;0.2;0.078125;0.140625;0.109375;0.0703125;0.0390625;0.02734375;0.0234375;0.015625;0.013671875;0.015625;0.015625;0.017578125;0.017578125;0.01953125;0.017578125;0.009765625;0.2
1;1;32.5;0.109375;0.203125;0.1484375;0.15625;0.078125;0.05078125;0.03515625;0.03125;0.021484375;0.021484375;0.01953125;0.01953125;0.01953125;0.021484375;0.01953125;0.01171875;0.2;0.109375;0.203125;0.1484375;0.140625;0.078125;0.046875;0.03515625;0.03515625;0.021484375;0.01953125;0.017578125;0.01953125;0.01953125;0.021484375;0.01953125;0.009765625;0.2
2;2;39.1;0.109375;0.265625;0.1953125;0.21875;0.11328125;0.07421875;0.046875;0.0390625;0.025390625;0.0234375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.017578125;0.4;0.109375;0.265625;0.203125;0.2109375;0.10546875;0.07421875;0.046875;0.0390625;0.02734375;0.025390625;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.017578125;0.4
3;3;50.71;0.109375;0.28125;0.234375;0.28125;0.15234375;0.09765625;0.05859375;0.046875;0.029296875;0.02734375;0.021484375;0.021484375;0.0234375;0.0234375;0.021484375;0.021484375;0.5;0.109375;0.28125;0.234375;0.265625;0.14453125;0.0859375;0.05078125;0.046875;0.02734375;0.025390625;0.01953125;0.021484375;0.021484375;0.021484375;0.021484375;0.01953125;0.4
4;4;53.63;0.109375;0.296875;0.2578125;0.3203125;0.18359375;0.1171875;0.06640625;0.0546875;0.03125;0.025390625;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.0234375;0.5;0.125;0.28125;0.2578125;0.296875;0.16796875;0.109375;0.0625;0.05078125;0.029296875;0.025390625;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.5
5;5;51.5;0.125;0.296875;0.28125;0.3515625;0.21875;0.15625;0.08203125;0.06640625;0.03515625;0.025390625;0.01953125;0.017578125;0.01953125;0.01953125;0.021484375;0.0234375;0.5;0.125;0.28125;0.28125;0.3359375;0.2109375;0.1484375;0.078125;0.05859375;0.03125;0.0234375;0.01953125;0.017578125;0.017578125;0.021484375;0.01953125;0.021484375;0.5
6;6;62.52;0.109375;0.3125;0.296875;0.3671875;0.2421875;0.1875;0.09375;0.07421875;0.03515625;0.025390625;0.017578125;0.01953125;0.017578125;0.021484375;0.021484375;0.0234375;0.6;0.125;0.3125;0.2890625;0.3515625;0.23046875;0.1796875;0.09375;0.06640625;0.033203125;0.025390625;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.021484375;0.5
7;7;61.18;0.125;0.3125;0.3125;0.40625;0.2734375;0.20703125;0.10546875;0.07421875;0.03515625;0.025390625;0.017578125;0.017578125;0.01953125;0.021484375;0.021484375;0.0234375;0.6;0.125;0.3125;0.3046875;0.3984375;0.265625;0.203125;0.09765625;0.0703125;0.03515625;0.0234375;0.017578125;0.017578125;0.01953125;0.021484375;0.01953125;0.0234375;0.5
8;8;62.75;0.125;0.3125;0.3046875;0.40625;0.28515625;0.21875;0.11328125;0.07421875;0.03515625;0.0234375;0.015625;0.015625;0.017578125;0.021484375;0.021484375;0.0234375;0.6;0.125;0.3125;0.296875;0.3984375;0.2734375;0.2109375;0.1015625;0.06640625;0.033203125;0.0234375;0.015625;0.015625;0.017578125;0.021484375;0.01953125;0.021484375;0.5
9;9;68.64;0.109375;0.328125;0.328125;0.4375;0.30859375;0.23828125;0.12109375;0.078125;0.037109375;0.021484375;0.015625;0.015625;0.017578125;0.021484375;0.01953125;0.0234375;0.6;0.125;0.328125;0.3203125;0.421875;0.296875;0.2265625;0.109375;0.07421875;0.03515625;0.021484375;0.013671875;0.015625;0.017578125;0.021484375;0.01953125;0.0234375;0.6
10;10;61.14;0.125;0.328125;0.328125;0.453125;0.328125;0.26171875;0.125;0.08203125;0.0390625;0.021484375;0.013671875;0.015625;0.017578125;0.021484375;0.01953125;0.021484375;0.6;0.125;0.328125;0.3203125;0.4296875;0.3203125;0.23828125;0.11328125;0.0703125;0.033203125;0.017578125;0.013671875;0.013671875;0.015625;0.021484375;0.017578125;0.021484375;0.5
11;11;64.59;0.125;0.34375;0.328125;0.453125;0.33984375;0.26953125;0.140625;0.08984375;0.0390625;0.01953125;0.01171875;0.013671875;0.015625;0.021484375;0.01953125;0.021484375;0.6;0.125;0.34375;0.3203125;0.4296875;0.33203125;0.2578125;0.125;0.078125;0.03515625;0.017578125;0.01171875;0.01171875;0.013671875;0.01953125;0.01953125;0.021484375;0.6
