Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_cifar10_1769452743.7174485_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.06.pth,93.06,92.83
vgg19_dilation_normal_cifar10_1769728779.734551_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.28.pth,93.28,92.8
vgg19_dilation_normal_cifar10_1769728777.0067856_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.06.pth,93.06,92.87
vgg19_dilation_normal_cifar10_1769728778.2327523_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.58.pth,93.58,93.42
vgg19_dilation_normal_cifar10_1769452675.141339_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.2.pth,93.2,92.85
vgg19_dilation_normal_cifar10_1769728777.0068119_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.15.pth,93.15,93.02
vgg19_dilation_normal_cifar10_1769452364.427599_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.27.pth,93.27,93.15
vgg19_dilation_normal_cifar10_1769728779.734551_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.16.pth,93.16,93.15
vgg19_dilation_normal_cifar10_1769452741.9329233_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.36.pth,93.36,93.4
vgg19_dilation_normal_cifar10_1769452441.8119519_rf_level_91_recording_dilation_100_no_ffcv_test_acc_93.25.pth,93.25,93.04
