Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_cifar10_1769453491.0523415_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.02.pth,93.02,92.98
vgg19_dilation_normal_cifar10_1769728778.1765912_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.24.pth,93.24,93.23
vgg19_dilation_normal_cifar10_1769453432.0002577_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.32.pth,93.32,93.26
vgg19_dilation_normal_cifar10_1769453332.6954997_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.6.pth,93.6,93.58
vgg19_dilation_normal_cifar10_1769729202.069841_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.43.pth,93.43,93.45
vgg19_dilation_normal_cifar10_1769728777.3460276_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.44.pth,93.44,93.42
vgg19_dilation_normal_cifar10_1769453131.0540204_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.34.pth,93.34,93.36
vgg19_dilation_normal_cifar10_1769453374.753488_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.23.pth,93.23,93.24
vgg19_dilation_normal_cifar10_1769728958.8271482_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.49.pth,93.49,93.45
vgg19_dilation_normal_cifar10_1769728777.346147_rf_level_269_recording_dilation_100_no_ffcv_test_acc_93.05.pth,93.05,93.07
